#Number,Mean Value,Max Value,Min Value,Standard Dev.,Median
1,127.131841318413,35733,3,1467.90885388908,48
2,91.8824988249883,29521,2,1068.24570838897,18
3,89.9716597165972,29140,2,1070.76697548776,18
4,36.9692896928969,23490,3,430.352064483128,10
5,67.9832498324983,23886,1,929.827107734831,10
6,33.9378993789938,20705,2,562.68831584317,9
7,33.5608956089561,20493,1,504.317448271487,9
8,32.2863228632286,21313,1,451.447006932127,10
12,16.9152991529915,19793,2,318.34613182985,9
16,14.0964009640096,19818,2,283.788382855718,7
32,13.4383543835438,19179,1,259.575589466935,7
64,15.6273662736627,19008,1,301.967876217765,8
